"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.47478605799452e-54,0.644976682545043,0.354,0.243,2.22352960959389e-49,"1","Pcmtd2"
2.35421166780558e-48,0.615857443037073,0.289,0.189,9.56139526762559e-44,"1","Ccpg1os"
1.86150812966284e-47,0.657460741814399,0.313,0.212,7.56032911781264e-43,"1","Invs"
3.56635467248969e-46,0.648998836370526,0.421,0.318,1.44843928668496e-41,"1","Mid1ip1"
1.13436764328662e-45,0.707092077342476,0.265,0.174,4.60712074644429e-41,"1","Uckl1"
8.84390392350513e-44,0.801616483737992,0.268,0.177,3.59186313949238e-39,"1","Gpc4"
1.66731581269163e-43,0.678431233733011,0.269,0.178,6.7716364416658e-39,"1","Pde9a"
9.90928913502368e-43,0.655536359582233,0.287,0.195,4.02455868929852e-38,"1","Senp8"
8.29691225709067e-42,0.657398464635555,0.265,0.177,3.3697079440948e-37,"1","Svip"
6.17308320492114e-41,0.605767418300375,0.26,0.171,2.50713601284667e-36,"1","Zfp941"
1.25561624305308e-40,0.616233252599594,0.298,0.207,5.0995598095358e-36,"1","Mrnip"
1.26487514446465e-40,1.27614986930488,0.333,0.245,5.13716391172873e-36,"1","Gabra2"
1.19314478840868e-37,0.608444734427986,0.258,0.174,4.84583824364302e-33,"1","Mkrn3"
5.22524351265304e-36,0.647207337492346,0.286,0.203,2.12218040022891e-31,"1","Flrt3"
8.14057461740008e-35,0.616246649452266,0.268,0.186,3.30621297511087e-30,"1","Zfp667"
1.52737855463495e-30,0.633585745373612,0.392,0.312,6.20329526179437e-26,"1","Cachd1"
1.11002525932843e-29,0.7025256357739,0.283,0.21,4.50825658823648e-25,"1","Socs2"
1.70669155700269e-14,1.08126636225813,0.805,0.816,6.93155708961073e-10,"1","mt-Atp6"
4.26848016283467e-13,1.22856154329526,0.65,0.674,1.73360053333367e-08,"1","mt-Co3"
7.31115334191381e-13,0.623057369413531,0.303,0.265,2.96935181828487e-08,"1","Hpcal1"
2.16105134023479e-09,1.19750669660192,0.591,0.634,8.7768939132296e-05,"1","mt-Co2"
0,2.82397133503232,0.932,0.275,0,"2","Snhg11"
0,2.17224333104894,0.791,0.229,0,"2","Gabrb1"
0,1.79071220795147,0.962,0.406,0,"2","Grin2b"
0,1.95685617986104,0.822,0.271,0,"2","Cacna1e"
0,2.71002981183533,0.734,0.184,0,"2","Lrfn5"
0,2.64975494589739,0.673,0.128,0,"2","A230006K03Rik"
0,1.73386460693836,0.933,0.404,0,"2","Tmem130"
0,1.9172958900903,0.741,0.213,0,"2","Scg2"
0,1.30232593970463,0.933,0.406,0,"2","Dscam"
0,2.6227574398892,0.643,0.124,0,"2","B230209E15Rik"
0,2.23525636722728,0.726,0.211,0,"2","Galntl6"
0,2.05975686564262,0.89,0.386,0,"2","Lingo2"
0,1.87276940193704,0.756,0.253,0,"2","Chd5"
0,2.23398331338485,0.969,0.47,0,"2","Dlg2"
0,1.62203351246996,0.885,0.387,0,"2","Gria1"
0,1.9435566067815,0.728,0.231,0,"2","Gad1"
0,1.68722332052966,0.883,0.387,0,"2","Caly"
0,1.46668284132064,0.859,0.377,0,"2","Marchf1"
0,1.46830700759837,0.884,0.402,0,"2","Kcnma1"
0,2.2386521763376,0.627,0.147,0,"2","Ablim3"
0,1.68266949133306,0.865,0.386,0,"2","Rac3"
0,1.8296582207026,0.898,0.421,0,"2","Cntnap2"
